,enzymes,compounds,reactions,pathways
cre,896,1712,1419,123
sce,832,1478,844,120
mtm,989,1874,994,126
tre,996,1848,899,128
maj,1020,1926,985,128
aor,1065,2020,1019,131
ang,1060,2003,953,130
lbc,883,1616,766,118
ddi,786,1480,735,109
eco,1092,1764,1122,122
xcc,888,1639,765,121
vna,1012,1728,755,122
pall,959,1665,714,124
son,838,1475,562,114
sbl,850,1503,590,115
spc,839,1488,563,115
shp,837,1490,562,116
ilo,687,1298,525,108
mca,761,1363,562,111
hel,937,1637,619,116
hhh,892,1573,615,120
halk,918,1621,632,120
hsr,787,1498,566,114
hmd,832,1464,532,113
haxi,813,1469,573,114
htt,1004,1739,639,117
bcep,1120,2021,847,136
ctes,944,1780,681,124
ata,931,1678,665,121
mtun,790,1564,635,122
kre,760,1481,528,115
afe,636,1141,396,103
bkw,803,1516,640,110
ptl,819,1488,633,111
clj,683,1201,390,103
cah,669,1200,371,103
has,641,1203,396,104
aar,603,1043,331,102
cgb,692,1230,502,109
sco,993,1835,752,134
sgr,959,1740,686,128
sfb,894,1589,603,127
syn,686,1333,486,113
syu,657,1267,435,107
arp,735,1377,497,115
mmad,480,833,271,86
pfu,456,822,262,93
hanr,498,1010,335,98
hma,603,1226,408,108
hdo,585,1201,386,108
hvo,629,1215,384,108
hss,553,1138,382,108
htu,704,1383,471,110
nmg,623,1229,407,101
nou,665,1363,466,103
sai,482,1110,380,104
mse,501,1077,347,100
mmt,765,1340,478,105
tvr,680,1204,439,103
cbaa,696,1321,481,111
sku,598,1029,336,102
nam,518,914,242,93
cthu,694,1284,517,105
spae,696,1295,519,104
malk,640,1218,493,112
dra,635,1256,514,104
dge,735,1374,539,107
ttj,641,1241,483,103
taq,629,1175,436,99
bth,663,1142,458,100
cly,666,1306,515,110
mhaz,517,851,225,82
mev,500,844,224,87
hme,621,1216,388,102
nge,607,1174,381,102
